kategori,sub_materi,topik,level,pertanyaan,opsi_a,opsi_b,opsi_c,opsi_d,opsi_e,kunci_jawaban,pembahasan,skor_tkp
TKP,Jejaring Kerja,Kepemimpinan Tim,sedang,Anda ditunjuk ketua project padahal merasa ada yang lebih kompeten. — konteks varian 4.,Menolak dan mengusulkan atasan saja,Menolak mentah-mentah,Langsung menerima demi kenaikan jabatan,Menerima dengan senang hati tanpa pertimbangan,Mempertimbangkan mandat dan meminta saran atasan sebelum memutuskan,E,"Skor 5: rendah hati, musyawarah, tanggung jawab. Kunci E skor 5.","{""A"":2,""B"":1,""C"":3,""D"":4,""E"":5}"
TKP,Jejaring Kerja,Membangun Relasi,mudah,"Anda melihat atasan berbelanja di supermarket saat akhir pekan, tidak di kantor. — konteks varian 4.",Menyelinap pergi agar tidak menyapa,"Melihat situasi, jika memungkinkan baru menyapa",Segera menghampiri dan menyapa dengan ramah,Pura-pura tidak tahu sampai disapa dulu,Tidak peduli karena bukan di kantor,C,"Skor 5: proaktif membangun jejaring, sopan, tidak canggung. Kunci C skor 5.","{""A"":4,""B"":3,""C"":5,""D"":1,""E"":2}"
TKP,TIK,Inovasi,mudah,Pimpinan meminta ide pemanfaatan TIK untuk mempercepat pelayanan. — konteks varian 2.,Mengusulkan lembur saja,Mengusulkan menambah loket manual,Mengusulkan dashboard tracking berkas online dan notifikasi WA otomatis,Meniru sistem instansi lain tanpa adaptasi,Menolak karena sudah sibuk,C,"Skor 5: efektif, inovatif, berorientasi pengguna. Kunci C skor 5.","{""A"":4,""B"":1,""C"":5,""D"":3,""E"":2}"
TKP,Pelayanan Publik,Integritas Pelayanan,mudah,Seorang warga menawarkan uang percepatan agar berkasnya didahulukan. — konteks varian 2.,Meminta warga menitip uang ke rekan lain,Mengabaikan tawaran tanpa penjelasan,Menerima lalu melaporkan ke atasan,Menerima uang karena kasihan dan membantu mendahulukan,"Menolak dengan halus, menjelaskan SOP antrian dan memastikan berkasnya tetap diproses sesuai urutan",E,Skor 5: integritas + keramahan + edukasi. Kunci E skor 5.,"{""A"":4,""B"":2,""C"":1,""D"":3,""E"":5}"
TKP,Profesionalisme,Tanggung Jawab,sedang,Anda tidak sengaja menabrakkan kendaraan dinas saat libur tanpa izin atasan yang sangat mempercayai Anda. — konteks varian 4.,Mencoba memperbaiki sendiri diam-diam,Membawa ke bengkel diam-diam lalu mengembalikan,Melapor tapi minta tidak dihukum,"Membawa ke bengkel atas biaya pribadi, melapor ke pimpinan dan menyerahkan keputusan",Menyembunyikan karena tak ada yang tahu,D,"Skor 5: akuntabilitas penuh, jujur, profesional. Kunci D skor 5.","{""A"":1,""B"":4,""C"":3,""D"":5,""E"":2}"
TKP,Profesionalisme,Tanggung Jawab,mudah,Anda tidak sengaja menabrakkan kendaraan dinas saat libur tanpa izin atasan yang sangat mempercayai Anda.,Membawa ke bengkel diam-diam lalu mengembalikan,Mencoba memperbaiki sendiri diam-diam,Menyembunyikan karena tak ada yang tahu,Melapor tapi minta tidak dihukum,"Membawa ke bengkel atas biaya pribadi, melapor ke pimpinan dan menyerahkan keputusan",E,"Skor 5: akuntabilitas penuh, jujur, profesional. Kunci E skor 5.","{""A"":3,""B"":4,""C"":2,""D"":1,""E"":5}"
TKP,Pelayanan Publik,Responsivitas,mudah,Seorang pemohon mengeluh pelayanannya lambat padahal SOP sudah Anda jelaskan. Ia mulai meninggikan suara di ruang pelayanan.,Meminta satpam untuk menenangkan pemohon,Menyuruh pemohon membuat pengaduan tertulis saja,Mengabaikan keluhan dan melanjutkan pekerjaan sesuai SOP saja,Menegur pemohon agar tidak berteriak karena mengganggu,"Tetap tenang, mendengarkan keluhan, menjelaskan kembali SOP dengan empati dan menawarkan solusi percepatan jika memungkinkan",E,Skor 5: keramahan + efektif + empati. Mendengarkan dan menjelaskan ulang dengan solusi adalah pelayanan prima. Kunci E skor 5.,"{""A"":4,""B"":2,""C"":1,""D"":3,""E"":5}"
TKP,Sosial Budaya,Toleransi,sedang,Tim Anda kesulitan karena jam istirahat Jumat pukul 12.00 bentrok dengan salat Jumat 11.47.,Mengajak perusahaan diskusi ulang penetapan jam istirahat Jumat,Menyiasati istirahat 11.00 tanpa izin,Meminta mereka protes sendiri,Menulis kritik di media sosial,Meminta anggota tetap istirahat 12.00,A,"Skor 5: adaptif, menghormati keberagaman, jalur formal. Kunci A skor 5.","{""A"":5,""B"":4,""C"":2,""D"":1,""E"":3}"
TKP,Pelayanan Publik,Etika Pelayanan,mudah,Anda bertugas di loket pelayanan. Seorang warga lansia bingung mengisi formulir dan antrian panjang di belakang Anda. Sikap Anda? — konteks varian 4.,Memanggil petugas lain untuk membantu sambil Anda tetap melayani antrian,Meminta warga tersebut mengisi di pojok ruangan sendiri agar antrian cepat,Menjelaskan dengan sabar langkah demi langkah sambil tetap menjaga keramahan pada antrian,Memberikan formulir contoh yang sudah diisi dan membiarkan warga meniru sendiri,Menyuruh warga kembali besok karena sudah hampir jam istirahat,C,"Skor 5: pelayanan prima yang ramah, proaktif, dan tidak mengorbankan warga lain. Memanggil bantuan sambil tetap melayani adalah kolaboratif tapi opsi paling ideal adalah menjelaskan sabar namun efektif. Kunci C skor 5.","{""A"":2,""B"":1,""C"":5,""D"":4,""E"":3}"
TKP,Sosial Budaya,Toleransi,sedang,Tim Anda kesulitan karena jam istirahat Jumat pukul 12.00 bentrok dengan salat Jumat 11.47. — konteks varian 3.,Menyiasati istirahat 11.00 tanpa izin,Meminta anggota tetap istirahat 12.00,Mengajak perusahaan diskusi ulang penetapan jam istirahat Jumat,Menulis kritik di media sosial,Meminta mereka protes sendiri,C,"Skor 5: adaptif, menghormati keberagaman, jalur formal. Kunci C skor 5.","{""A"":2,""B"":4,""C"":5,""D"":3,""E"":1}"
TKP,Sosial Budaya,Keragaman,sulit,Anda ditugaskan di daerah dengan bahasa dan adat yang sangat berbeda.,Bersikap eksklusif,Memaksakan budaya Anda,Hanya bergaul dengan sesama perantau,"Mempelajari bahasa dan adat setempat, menghormati dan menyesuaikan perilaku",Mengeluh ingin dipindah,D,"Skor 5: adaptasi majemuk, inklusif. Kunci D skor 5.","{""A"":4,""B"":2,""C"":1,""D"":5,""E"":3}"
TKP,Pelayanan Publik,Etika Pelayanan,sedang,Anda bertugas di loket pelayanan. Seorang warga lansia bingung mengisi formulir dan antrian panjang di belakang Anda. Sikap Anda? — konteks varian 3.,Menyuruh warga kembali besok karena sudah hampir jam istirahat,Meminta warga tersebut mengisi di pojok ruangan sendiri agar antrian cepat,Memanggil petugas lain untuk membantu sambil Anda tetap melayani antrian,Menjelaskan dengan sabar langkah demi langkah sambil tetap menjaga keramahan pada antrian,Memberikan formulir contoh yang sudah diisi dan membiarkan warga meniru sendiri,D,"Skor 5: pelayanan prima yang ramah, proaktif, dan tidak mengorbankan warga lain. Memanggil bantuan sambil tetap melayani adalah kolaboratif tapi opsi paling ideal adalah menjelaskan sabar namun efektif. Kunci D skor 5.","{""A"":4,""B"":2,""C"":3,""D"":5,""E"":1}"
TKP,Profesionalisme,Tanggung Jawab,sedang,Anda tidak sengaja menabrakkan kendaraan dinas saat libur tanpa izin atasan yang sangat mempercayai Anda. — konteks varian 2.,Menyembunyikan karena tak ada yang tahu,Melapor tapi minta tidak dihukum,Mencoba memperbaiki sendiri diam-diam,Membawa ke bengkel diam-diam lalu mengembalikan,"Membawa ke bengkel atas biaya pribadi, melapor ke pimpinan dan menyerahkan keputusan",E,"Skor 5: akuntabilitas penuh, jujur, profesional. Kunci E skor 5.","{""A"":4,""B"":2,""C"":1,""D"":3,""E"":5}"
TKP,Profesionalisme,Disiplin SOP,sedang,Rekan tim melakukan kesalahan fatal karena tidak ikut SOP pada proyek penting yang menuntut kecepatan dan ketelitian. — konteks varian 2.,Langsung lapor atasan tanpa diskusi,Menganalisis kesalahan sendiri tanpa libatkan tim,Mengeluarkannya dari tim,Berdiskusi dengan rekan lain untuk evaluasi dan solusi korektif bersama,Menyuruhnya tanggung jawab ke atasan sendiri,D,"Skor 5: profesional, musyawarah, perbaikan sistem. Kunci D skor 5.","{""A"":2,""B"":1,""C"":3,""D"":5,""E"":4}"
TKP,Sosial Budaya,Empati Budaya,sedang,Rekan berbeda suku tersinggung karena candaan rekan lain yang menyinggung budayanya.,Menertawakan juga,Melapor ke atasan tanpa mediasi,Menyuruh rekan tersinggung bersabar saja,"Menengahi dengan empati, menjelaskan pentingnya menghormati budaya dan memediasi permintaan maaf",Mengabaikan karena bukan urusan Anda,D,"Skor 5: peka sosial budaya, proaktif mendamaikan. Kunci D skor 5.","{""A"":3,""B"":4,""C"":2,""D"":5,""E"":1}"
TKP,Jejaring Kerja,Kolaborasi,mudah,Rekan divisi lain mengusulkan ide berisiko tinggi yang menurut Anda merugikan perusahaan saat rapat gabungan. Ia menolak sanggahan Anda. — konteks varian 5.,Keluar ruangan dan melapor ke atasan,Diam dan mengikuti idenya saja,"Mengajaknya berbicara dengan bahasa santai, fokus pada tujuan bersama dan data risiko",Memintanya mencari ide berisiko kecil yang realistis,Memintanya memikirkan kembali tanpa diskusi,C,"Skor 5: menjaga hubungan, kolaboratif, komunikatif, fokus tujuan. Kunci C skor 5.","{""A"":4,""B"":1,""C"":5,""D"":2,""E"":3}"
TKP,Jejaring Kerja,Solidaritas,sedang,"Cici di toko kewalahan melayani pelanggan sambil harus hitung stok gudang, sementara Anda lowong. — konteks varian 5.",Membagi tugas berdua saja tanpa libatkan lain,Menyuruh Cici lembur saja,Mengajak karyawan lain membantu Cici menghitung stok bersama,Memberi motivasi verbal saja,Meminta maaf tidak bisa bantu,C,"Skor 5: kolaborasi maksimal, berbagi beban, inisiatif jejaring. Kunci C skor 5.","{""A"":4,""B"":3,""C"":5,""D"":2,""E"":1}"
TKP,TIK,Kolaborasi Digital,sedang,Tim Anda tersebar di 3 kota dan kesulitan koordinasi. — konteks varian 2.,Hanya koordinasi via atasan,Membuat laporan via kurir,Mengandalkan telepon satu per satu,"Menginisiasi grup kerja digital, kalender bersama, dan rapat harian singkat via video",Menunggu rapat tatap muka bulanan,D,Skor 5: kolaborasi TIK efektif. Kunci D skor 5.,"{""A"":3,""B"":1,""C"":4,""D"":5,""E"":2}"
TKP,Sosial Budaya,Empati Budaya,sedang,Rekan berbeda suku tersinggung karena candaan rekan lain yang menyinggung budayanya. — konteks varian 2.,Mengabaikan karena bukan urusan Anda,Menyuruh rekan tersinggung bersabar saja,Melapor ke atasan tanpa mediasi,"Menengahi dengan empati, menjelaskan pentingnya menghormati budaya dan memediasi permintaan maaf",Menertawakan juga,D,"Skor 5: peka sosial budaya, proaktif mendamaikan. Kunci D skor 5.","{""A"":2,""B"":1,""C"":3,""D"":5,""E"":4}"
TKP,Jejaring Kerja,Kepemimpinan Tim,mudah,Anda ditunjuk ketua project padahal merasa ada yang lebih kompeten. — konteks varian 3.,Menolak dan mengusulkan atasan saja,Menolak mentah-mentah,Langsung menerima demi kenaikan jabatan,Menerima dengan senang hati tanpa pertimbangan,Mempertimbangkan mandat dan meminta saran atasan sebelum memutuskan,E,"Skor 5: rendah hati, musyawarah, tanggung jawab. Kunci E skor 5.","{""A"":3,""B"":2,""C"":1,""D"":4,""E"":5}"
TKP,Jejaring Kerja,Kolaborasi,sedang,Rekan divisi lain mengusulkan ide berisiko tinggi yang menurut Anda merugikan perusahaan saat rapat gabungan. Ia menolak sanggahan Anda. — konteks varian 2.,Diam dan mengikuti idenya saja,"Mengajaknya berbicara dengan bahasa santai, fokus pada tujuan bersama dan data risiko",Memintanya memikirkan kembali tanpa diskusi,Memintanya mencari ide berisiko kecil yang realistis,Keluar ruangan dan melapor ke atasan,B,"Skor 5: menjaga hubungan, kolaboratif, komunikatif, fokus tujuan. Kunci B skor 5.","{""A"":4,""B"":5,""C"":1,""D"":2,""E"":3}"
TKP,Pelayanan Publik,Responsivitas,sulit,Seorang pemohon mengeluh pelayanannya lambat padahal SOP sudah Anda jelaskan. Ia mulai meninggikan suara di ruang pelayanan. — konteks varian 5.,Menyuruh pemohon membuat pengaduan tertulis saja,Mengabaikan keluhan dan melanjutkan pekerjaan sesuai SOP saja,Menegur pemohon agar tidak berteriak karena mengganggu,"Tetap tenang, mendengarkan keluhan, menjelaskan kembali SOP dengan empati dan menawarkan solusi percepatan jika memungkinkan",Meminta satpam untuk menenangkan pemohon,D,Skor 5: keramahan + efektif + empati. Mendengarkan dan menjelaskan ulang dengan solusi adalah pelayanan prima. Kunci D skor 5.,"{""A"":1,""B"":3,""C"":2,""D"":5,""E"":4}"
TKP,Jejaring Kerja,Kepemimpinan Tim,mudah,Anda ditunjuk ketua project padahal merasa ada yang lebih kompeten. — konteks varian 2.,Mempertimbangkan mandat dan meminta saran atasan sebelum memutuskan,Menolak mentah-mentah,Menerima dengan senang hati tanpa pertimbangan,Menolak dan mengusulkan atasan saja,Langsung menerima demi kenaikan jabatan,A,"Skor 5: rendah hati, musyawarah, tanggung jawab. Kunci A skor 5.","{""A"":5,""B"":1,""C"":2,""D"":3,""E"":4}"
TKP,TIK,Kolaborasi Digital,sedang,Tim Anda tersebar di 3 kota dan kesulitan koordinasi. — konteks varian 3.,Membuat laporan via kurir,Menunggu rapat tatap muka bulanan,"Menginisiasi grup kerja digital, kalender bersama, dan rapat harian singkat via video",Hanya koordinasi via atasan,Mengandalkan telepon satu per satu,C,Skor 5: kolaborasi TIK efektif. Kunci C skor 5.,"{""A"":1,""B"":4,""C"":5,""D"":3,""E"":2}"
TKP,Sosial Budaya,Empati Budaya,sulit,Rekan berbeda suku tersinggung karena candaan rekan lain yang menyinggung budayanya. — konteks varian 3.,Melapor ke atasan tanpa mediasi,"Menengahi dengan empati, menjelaskan pentingnya menghormati budaya dan memediasi permintaan maaf",Menertawakan juga,Menyuruh rekan tersinggung bersabar saja,Mengabaikan karena bukan urusan Anda,B,"Skor 5: peka sosial budaya, proaktif mendamaikan. Kunci B skor 5.","{""A"":1,""B"":5,""C"":2,""D"":4,""E"":3}"
TKP,Jejaring Kerja,Manajemen Konflik,sulit,Dua anggota rapat berdebat keras dan sama-sama keras kepala saat Anda jadi fasilitator. — konteks varian 5.,Berusaha tidak memperkeruh tanpa menengahi,"Menengahi dan menyampaikan perbedaan pandangan itu wajar, ajak fokus solusi",Mengabaikan saja,Meminta rekan lain menengahi,Menegur keduanya agar diam,B,"Skor 5: fasilitator efektif, menjaga hubungan, kolaboratif. Kunci B skor 5.","{""A"":2,""B"":5,""C"":1,""D"":3,""E"":4}"
TKP,Sosial Budaya,Adaptasi,mudah,Anda ditugaskan ke divisi baru yang beberapa anggotanya tidak menyukai Anda. — konteks varian 4.,"Berusaha menerima, belajar menjadi lebih baik dan membangun komunikasi",Mengundurkan diri,Minta atasan menangguhkan pindah,Cuek saja,Bertanya langsung mengapa tidak disukai dengan konfrontatif,A,"Skor 5: adaptif, positif, efektif di lingkungan majemuk. Kunci A skor 5.","{""A"":5,""B"":2,""C"":4,""D"":3,""E"":1}"
TKP,Jejaring Kerja,Membangun Relasi,sulit,"Anda melihat atasan berbelanja di supermarket saat akhir pekan, tidak di kantor.","Melihat situasi, jika memungkinkan baru menyapa",Tidak peduli karena bukan di kantor,Menyelinap pergi agar tidak menyapa,Segera menghampiri dan menyapa dengan ramah,Pura-pura tidak tahu sampai disapa dulu,D,"Skor 5: proaktif membangun jejaring, sopan, tidak canggung. Kunci D skor 5.","{""A"":1,""B"":2,""C"":4,""D"":5,""E"":3}"
TKP,TIK,Inovasi,mudah,Pimpinan meminta ide pemanfaatan TIK untuk mempercepat pelayanan.,Meniru sistem instansi lain tanpa adaptasi,Mengusulkan dashboard tracking berkas online dan notifikasi WA otomatis,Menolak karena sudah sibuk,Mengusulkan lembur saja,Mengusulkan menambah loket manual,B,"Skor 5: efektif, inovatif, berorientasi pengguna. Kunci B skor 5.","{""A"":1,""B"":5,""C"":2,""D"":4,""E"":3}"
TKP,Jejaring Kerja,Solidaritas,sedang,"Cici di toko kewalahan melayani pelanggan sambil harus hitung stok gudang, sementara Anda lowong. — konteks varian 2.",Mengajak karyawan lain membantu Cici menghitung stok bersama,Memberi motivasi verbal saja,Menyuruh Cici lembur saja,Membagi tugas berdua saja tanpa libatkan lain,Meminta maaf tidak bisa bantu,A,"Skor 5: kolaborasi maksimal, berbagi beban, inisiatif jejaring. Kunci A skor 5.","{""A"":5,""B"":3,""C"":4,""D"":1,""E"":2}"
TKP,Pelayanan Publik,Empati,sedang,Seorang ibu membawa bayi dan dokumen belum lengkap. Ia sudah menempuh jarak jauh ke kantor Anda. — konteks varian 2.,Menyuruhnya pulang melengkapi dulu,"Mengecek dokumen yang ada, membantu melengkapi yang kurang via online dan menjadwalkan susulan tanpa harus pulang sia-sia",Menolak berkas karena tidak lengkap sesuai SOP,Memintanya menitip berkas ke orang lain,Menerima berkas tidak lengkap dan memproses seadanya,B,Skor 5: memenuhi kebutuhan warga dengan tetap taat SOP namun memberi jalan keluar. Kunci B skor 5.,"{""A"":4,""B"":5,""C"":1,""D"":2,""E"":3}"
TKP,Jejaring Kerja,Kepemimpinan Tim,sedang,Anda ditunjuk ketua project padahal merasa ada yang lebih kompeten. — konteks varian 5.,Mempertimbangkan mandat dan meminta saran atasan sebelum memutuskan,Menolak mentah-mentah,Langsung menerima demi kenaikan jabatan,Menolak dan mengusulkan atasan saja,Menerima dengan senang hati tanpa pertimbangan,A,"Skor 5: rendah hati, musyawarah, tanggung jawab. Kunci A skor 5.","{""A"":5,""B"":1,""C"":2,""D"":3,""E"":4}"
