kategori,sub_materi,topik,level,pertanyaan,opsi_a,opsi_b,opsi_c,opsi_d,opsi_e,kunci_jawaban,pembahasan,skor_tkp
TWK,Pancasila,Sila 4 Kerakyatan,sedang,[Pancasila - Sila 4 Kerakyatan] Program bantuan sosial yang memprioritaskan warga miskin tanpa diskriminasi mencerminkan sila ke-...,Sila keempat Kerakyatan,Pasal 29 ayat 2,Sila ketiga Persatuan Indonesia,Melindungi segenap bangsa dan tumpah darah,Sila pertama Ketuhanan Yang Maha Esa,C,Keadilan sosial sila ke-5 menuntut pemerataan dan keberpihakan pada yang lemah.,
TWK,Pancasila,Sila 5 Keadilan,sedang,[Pancasila - Sila 5 Keadilan] Gotong royong membangun jembatan desa yang melibatkan semua warga tanpa membedakan suku mencerminkan sila...,Presiden,Pasal 29 ayat 2,Sila pertama Ketuhanan Yang Maha Esa,Sila ketiga Persatuan Indonesia,Ketahanan nasional,B,Gotong royong lintas suku adalah wujud Persatuan Indonesia sila ke-3.,
TWK,Pancasila,Pancasila sebagai Ideologi,sulit,[Pancasila - Pancasila sebagai Ideologi] Seorang ASN menolak melayani warga berbeda agama dengan alasan keyakinan pribadi. Tindakan ini bertentangan dengan sila Pancasila ke-...,Pasal 29 ayat 2,Sila ketiga Persatuan Indonesia,Kebangkitan Nasional 1908,Sila kedua Kemanusiaan yang Adil dan Beradab,Reformasi 1998,A,Sila 1 menjamin kebebasan beragama dan toleransi; menolak layanan karena agama melanggar Ketuhanan Yang Maha Esa yang inklusif.,
TWK,Pancasila,Sila 3 Persatuan,mudah,[Pancasila - Sila 3 Persatuan] Seorang ASN menolak melayani warga berbeda agama dengan alasan keyakinan pribadi. Tindakan ini bertentangan dengan sila Pancasila ke-...,DPR,Pasal 29 ayat 2,Pasal 30 ayat 1,Wawasan Nusantara,MPR,A,Sila 1 menjamin kebebasan beragama dan toleransi; menolak layanan karena agama melanggar Ketuhanan Yang Maha Esa yang inklusif.,
TWK,Pancasila,Sila 2 Kemanusiaan,sedang,[Pancasila - Sila 2 Kemanusiaan] Gotong royong membangun jembatan desa yang melibatkan semua warga tanpa membedakan suku mencerminkan sila...,Integrasi nasional,Konferensi Meja Bundar,Kebangkitan Nasional 1908,Presiden,MPR,D,Gotong royong lintas suku adalah wujud Persatuan Indonesia sila ke-3.,
TWK,Pancasila,Sila 2 Kemanusiaan,sedang,[Pancasila - Sila 2 Kemanusiaan] Program bantuan sosial yang memprioritaskan warga miskin tanpa diskriminasi mencerminkan sila ke-...,Sumpah Pemuda 1928,Ikut melaksanakan ketertiban dunia,Pasal 28A-28J,Sila keempat Kerakyatan,Wawasan Nusantara,B,Keadilan sosial sila ke-5 menuntut pemerataan dan keberpihakan pada yang lemah.,
TWK,Pancasila,Sila 4 Kerakyatan,mudah,[Pancasila - Sila 4 Kerakyatan] Ketua RT memutuskan iuran warga melalui musyawarah mufakat meski ada perbedaan pendapat. Nilai ini sesuai sila ke-...,Ikut melaksanakan ketertiban dunia,Keadilan sosial bagi seluruh rakyat,Reformasi 1998,Integrasi nasional,Sila kedua Kemanusiaan yang Adil dan Beradab,B,Musyawarah mufakat adalah inti sila ke-4 Kerakyatan yang dipimpin hikmat kebijaksanaan.,
TWK,Pancasila,Pancasila sebagai Ideologi,sedang,[Pancasila - Pancasila sebagai Ideologi] Seorang ASN menolak melayani warga berbeda agama dengan alasan keyakinan pribadi. Tindakan ini bertentangan dengan sila Pancasila ke-...,Sila kedua Kemanusiaan yang Adil dan Beradab,Mencerdaskan kehidupan bangsa,Integrasi nasional,Melindungi segenap bangsa dan tumpah darah,Sumpah Pemuda 1928,B,Sila 1 menjamin kebebasan beragama dan toleransi; menolak layanan karena agama melanggar Ketuhanan Yang Maha Esa yang inklusif.,
TWK,Pancasila,Sila 1 Ketuhanan,mudah,[Pancasila - Sila 1 Ketuhanan] Gotong royong membangun jembatan desa yang melibatkan semua warga tanpa membedakan suku mencerminkan sila...,Pasal 28A-28J,DPD,Keadilan sosial bagi seluruh rakyat,Sila kelima Keadilan Sosial,Ikut melaksanakan ketertiban dunia,B,Gotong royong lintas suku adalah wujud Persatuan Indonesia sila ke-3.,
TWK,Pancasila,Sila 2 Kemanusiaan,sedang,[Pancasila - Sila 2 Kemanusiaan] Ketua RT memutuskan iuran warga melalui musyawarah mufakat meski ada perbedaan pendapat. Nilai ini sesuai sila ke-...,Keadilan sosial bagi seluruh rakyat,Pasal 29 ayat 2,Reformasi 1998,Konferensi Meja Bundar,Sila ketiga Persatuan Indonesia,C,Musyawarah mufakat adalah inti sila ke-4 Kerakyatan yang dipimpin hikmat kebijaksanaan.,
TWK,Pancasila,Sila 4 Kerakyatan,sedang,[Pancasila - Sila 4 Kerakyatan] Seorang ASN menolak melayani warga berbeda agama dengan alasan keyakinan pribadi. Tindakan ini bertentangan dengan sila Pancasila ke-...,Sila kedua Kemanusiaan yang Adil dan Beradab,Bela negara melalui profesi,DPD,Proklamasi 1945,Sila pertama Ketuhanan Yang Maha Esa,E,Sila 1 menjamin kebebasan beragama dan toleransi; menolak layanan karena agama melanggar Ketuhanan Yang Maha Esa yang inklusif.,
