kategori,sub_materi,topik,level,pertanyaan,opsi_a,opsi_b,opsi_c,opsi_d,opsi_e,kunci_jawaban,pembahasan,skor_tkp
TIU,Verbal,Analogi,sulit,Pena : Menulis = Kuas : ?,Menggambar,Mewarnai,Memahat,Menghapus,Melukis,E,"Analogi fungsi alat. Pena fungsi menulis, kuas fungsi melukis. Trik: cari hubungan fungsi bukan bentuk. Jawaban E.",
TIU,Verbal,Analogi,mudah,Dokter : Stetoskop = Montir : ?,Kunci Inggris,Obeng,Tang,Dongkrak,Palu,A,"Analogi alat profesi khas. Dokter identik stetoskop, montir identik kunci inggris. Jawaban A.",
TIU,Verbal,Analogi,sedang,Buku : Perpustakaan = Arsip : ?,Museum,Kantor,Gudang Arsip,Lemari,Rak,C,"Analogi tempat penyimpanan. Buku disimpan di perpustakaan, arsip di gudang arsip/kearsipan. Jawaban C.",
TIU,Verbal,Analogi,sedang,Fotosintesis : Matahari = Respirasi : ?,Air,Oksigen,Karbon dioksida,Klorofil,Tanah,B,"Analogi kebutuhan utama proses. Fotosintesis butuh matahari, respirasi butuh oksigen.",
TIU,Verbal,Analogi,sulit,Guru : Mengajar = Hakim : ?,Mengadili,Memvonis,Memutuskan,Memerintah,Menghukum,A,"Analogi peran. Guru mengajar (kata kerja umum), hakim mengadili. Mengadili lebih umum dari memvonis.",
TIU,Verbal,Analogi,sulit,Roda : Mobil = Sayap : ?,Burung,Angin,Pesawat,Terbang,Udara,C,"Analogi bagian-tubuh kendaraan. Roda bagian mobil, sayap bagian pesawat. Burung juga punya sayap tapi konteks kendaraan > pesawat.",
TIU,Verbal,Analogi,mudah,Metafora : Fiksi = Data : ?,Fakta,Statistik,Logika,Ilmiah,Angka,D,"Analogi domain. Metafora alat dalam fiksi, data alat dalam karya ilmiah.",
TIU,Verbal,Analogi,sedang,Kamera : Fotografer = Cangkul : ?,Tukang,Buruh,Petani,Kebun,Tanah,C,"Analogi alat-profesi. Kamera alat fotografer, cangkul alat petani.",
TIU,Verbal,Analogi,sedang,Jantung : Memompa = Paru-paru : ?,Bernapas,Menyaring,Menghirup,Menghembus,Menukar Oksigen,E,"Analogi fungsi organ spesifik. Jantung memompa darah, paru-paru menukar oksigen (fungsi fisiologis presisi).",
TIU,Verbal,Analogi,sedang,Pianis : Piano = Dalang : ?,Gamelan,Lakon,Panggung,Wayang,Cerita,D,"Analogi pelaku-objek. Pianis memainkan piano, dalang memainkan wayang.",
TIU,Verbal,Silogisme,mudah,Premis 1: Jika hujan maka jalan basah. Premis 2: Jalan basah. Kesimpulan?,Hujan turun,Tidak dapat disimpulkan apakah hujan,Tidak hujan,Jalan tidak basah jika tidak hujan,Hujan pasti turun,B,"Jebakan modus ponens terbalik (affirming consequent). Jika P->Q, Q benar TIDAK berarti P benar. Jalan basah bisa karena disiram. Jadi tidak dapat disimpulkan. Trik: hanya modus ponens (P benar -> Q benar) dan modus tollens (¬Q -> ¬P) yang valid.",
TIU,Verbal,Silogisme,sedang,Semua dosen adalah pendidik. Beberapa pendidik adalah peneliti. Simpulan?,Semua dosen adalah peneliti,Beberapa dosen adalah peneliti,Tidak dapat ditarik kesimpulan pasti,Tidak ada dosen peneliti,Beberapa peneliti adalah dosen,C,Silogisme dengan 'beberapa' tidak bisa transitivitas. Hanya bisa simpulkan 'beberapa peneliti adalah pendidik' tapi tidak ke dosen. Jawaban C (tidak ada simpulan pasti).,
TIU,Verbal,Silogisme,mudah,Jika lulus SKD maka ikut SKB. Andi ikut SKB. Simpulan?,Andi pasti lulus SKD,Andi tidak lulus SKD,Andi tidak ikut SKB,Andi mungkin lulus SKD atau jalur lain,Tidak ada simpulan,D,"Jebakan sama: Q benar (ikut SKB) tidak menjamin P (lulus SKD) karena bisa ada mekanisme lain? Tapi aturan CPNS strict, namun logika formal tetap: affirming consequent invalid -> tidak pasti, hanya mungkin. Trik cepat: Jika P->Q, Q true = tidak valid.",
TIU,Verbal,Silogisme,mudah,Semua peserta TIU harus mengerjakan figural. Budi tidak mengerjakan figural. Simpulan?,Budi peserta TIU,Budi mengerjakan figural,Semua tidak mengerjakan figural bukan peserta,Budi bukan peserta TIU,Budi lulus TIU,D,"Modus tollens valid: Jika P->Q, ¬Q -> ¬P. Tidak mengerjakan figural -> bukan peserta TIU (atau tidak memenuhi syarat).",
TIU,Verbal,Silogisme,mudah,Jika harga naik maka permintaan turun. Harga tidak naik. Simpulan?,Permintaan tidak turun,Permintaan turun,Permintaan pasti naik,Permintaan tetap,Tidak dapat disimpulkan,E,"Jebakan denying antecedent. Jika P->Q, ¬P tidak berarti ¬Q. Harga tidak naik tidak menjamin permintaan. Jawaban E.",
TIU,Verbal,Silogisme,sedang,Semua atlet pelatnas disiplin. Rina disiplin. Simpulan?,Rina atlet pelatnas,Rina mungkin atlet pelatnas,Rina bukan atlet pelatnas,Semua yang disiplin atlet,Tidak ada yang disiplin selain atlet,B,"Affirming consequent lagi. Disiplin adalah Q, tidak bisa tarik P. Hanya 'mungkin'.",
TIU,Verbal,Silogisme,mudah,Tidak ada kuda yang berkaki dua. Semua kuda adalah mamalia. Simpulan?,Beberapa mamalia berkaki dua,Tidak ada mamalia berkaki dua,Semua mamalia bukan kuda,Tidak dapat disimpulkan,Beberapa mamalia bukan berkaki dua,E,"Silogisme kategorik: Kuda subset mamalia, kuda tidak ada yang kaki dua -> beberapa mamalia (yaitu kuda) bukan kaki dua. Valid.",
TIU,Verbal,Silogisme,sedang,Jika rajin belajar maka lulus. Toni lulus. Apakah Toni rajin belajar?,Ya pasti,Tidak rajin,Tidak lulus,Rajin tapi tidak lulus,"Belum tentu, bisa faktor lain",E,"Jebakan modus ponens terbalik lagi. Lulus (Q) tidak menjamin rajin (P). Bisa karena bocoran, keberuntungan. Jawaban E/Belum tentu.",
TIU,Verbal,Silogisme,mudah,Semua BUMN adalah perusahaan negara. Beberapa perusahaan negara merugi. Simpulan?,Tidak dapat dipastikan,Semua BUMN merugi,Beberapa BUMN merugi,Beberapa BUMN tidak merugi,Beberapa yang merugi adalah BUMN,A,Premis 'beberapa' tidak transitif ke semua. Tidak bisa pastikan BUMN yang merugi.,
TIU,Verbal,Silogisme,mudah,Jika sistem CAT error maka skor tidak keluar. Skor tidak keluar. Simpulan?,Sistem CAT error,Sistem mungkin error atau sebab lain,Sistem CAT tidak error,Skor keluar,Tidak ada hubungan,B,Affirming consequent jebakan. Skor tidak keluar (Q) bisa karena error atau listrik mati. Jadi hanya mungkin.,
TIU,Verbal,Analitis,mudah,"Lima orang antre: Andi di depan Budi, Budi di depan Citra, Citra di depan Doni, Eka paling belakang. Siapa di posisi tengah (3)?",Andi,Citra,Budi,Doni,Eka,B,Antre linear: 1 Andi -2 Budi -3 Citra -4 Doni -5 Eka. Posisi 3 = Citra.,
TIU,Verbal,Analitis,sulit,"Enam orang duduk melingkar. P berhadapan Q, R di kanan P, S di kiri Q, T di antara R-S berhadapan U. Siapa berhadapan dengan R?",S,P,Q,T,U,A,"Gambar: P vs Q, R kanan P dekat Q, S kiri Q dekat P, T di sisi lain antara R-S, U hadap T. Yang hadap R adalah S.",
TIU,Verbal,Analitis,sulit,"Jadwal 5 hari: Matematika tidak Senin, Fisika setelah Matematika, Kimia Jumat, Biologi Selasa. Kapan Matematika paling logis?",Senin,Selasa,Rabu,Kamis,Jumat,C,"Eliminasi Senin & Jumat & Selasa, sisa Rabu/Kamis. Rabu memberi ruang Fisika Kamis sebelum Kimia Jumat. Jawaban Rabu.",
TIU,Verbal,Analitis,mudah,"Doni lebih tinggi dari Andi, Andi lebih tinggi dari Budi, Budi lebih tinggi dari Citra. Siapa tertinggi?",Doni,Andi,Budi,Citra,Eka,A,Rantai: Citra<Budi<Andi<Doni -> Doni tertinggi.,
TIU,Verbal,Analitis,sedang,Aturan: yang suka bola pasti suka voli. Doni suka bola. Simpulan?,Doni suka basket,Doni tidak suka voli,Doni benci voli,Tidak ada simpulan,Doni suka voli,E,"Modus ponens: bola->voli, Doni bola -> pasti voli.",
TIU,Verbal,Analitis,sedang,"Kunci: A buka jika B tertutup, C buka jika A buka. Jika B terbuka, mana pasti tertutup?",B,A,C,D,Semua,B,B buka -> A tertutup (kontraposisi). A tertutup -> C juga tertutup.,
TIU,Verbal,Analitis,sedang,"Uang Andi 2× Budi, Budi 3× Citra, total 40 juta. Berapa uang Citra?",6 juta,8 juta,12 juta,20 juta,4 juta,E,"Citra=x, Budi=3x, Andi=6x, total10x=40jt -> x=4jt.",
TIU,Verbal,Analitis,mudah,Hari ini Kamis. 100 hari lagi hari apa?,Senin,Selasa,Rabu,Sabtu,Minggu,D,100 mod7=2 (98 habis). Kamis+2 = Sabtu.,
TIU,Verbal,Analitis,sedang,"Mobil A jam 07.00 60 km/jam, mobil B jam 08.00 80 km/jam searah. Kapan B menyusul A?",Jam 09.00,Jam 10.00,Jam 12.00,Jam 11.00,Jam 13.00,D,"Jarak A saat B start=60km, selisih kec 20km/jam, waktu kejar=60/20=3 jam -> 08.00+3=11.00.",
TIU,Verbal,Analitis,sedang,Ada 3 rute P->Q dan 2 rute Q->R. Berapa cara P->R via Q?,6,5,8,9,12,A,Prinsip perkalian: 3×2=6 cara.,
TIU,Numerik,Deret Angka,sedang,"2, 5, 10, 17, 26, ... (pola +n bertingkat selisih +3,+5,+7,+9)",37,35,38,39,42,A,"Selisih +3,+5,+7,+9 -> berikut +11 ->26+11=37. Pola tingkat 2 (beda selisih 2).",
TIU,Numerik,Deret Angka,sulit,"3, 6, 11, 18, 27, ...",36,39,38,40,45,C,"Selisih +3,+5,+7,+9 -> next +11 ->27+11=38. Pola tingkat 2 beda 2.",
TIU,Numerik,Deret Angka,sulit,"1, 4, 9, 16, 25, ...",30,35,49,36,64,D,"Pola kuadrat n^2 : 1,4,9,16,25 next 36 (6^2). Selisih +3,+5,+7,+9 ->+11.",
TIU,Numerik,Deret Angka,sulit,"5, 8, 13, 20, 29, ...",38,42,40,44,46,C,"Selisih +3,+5,+7,+9 -> next +11 ->29+11=40.",
TIU,Numerik,Deret Angka,mudah,"7, 10, 15, 22, 31, ...",40,42,44,45,48,B,"Selisih +3,+5,+7,+9 ->31+11=42.",
TIU,Numerik,Deret Angka,mudah,"12, 14, 18, 24, 32, ...",40,42,44,45,48,B,"Selisih +2,+4,+6,+8 -> next +10 ->32+10=42.",
TIU,Numerik,Deret Angka,sedang,"4, 7, 12, 19, 28, ...",37,41,39,43,45,C,"Selisih +3,+5,+7,+9 ->28+11=39.",
TIU,Numerik,Deret Angka,sulit,"10, 13, 18, 25, 34, ...",45,43,47,49,50,A,"Selisih +3,+5,+7,+9 ->34+11=45.",
TIU,Numerik,Deret Angka,sedang,"6, 9, 14, 21, 30, ...",41,39,43,45,47,A,"Selisih +3,+5,+7,+9 ->30+11=41.",
TIU,Numerik,Deret Angka,sulit,"8, 11, 16, 23, 32, ...",43,41,45,47,50,A,"Selisih +3,+5,+7,+9 ->32+11=43.",
TIU,Numerik,Deret Angka,mudah,"15, 16, 19, 24, 31, ...",38,42,40,44,46,C,"Selisih +1,+3,+5,+7 -> next +9 ->31+9=40.",
TIU,Numerik,Deret Angka,sedang,"20, 22, 26, 32, 40, ...",48,52,54,56,50,E,"Selisih +2,+4,+6,+8 -> next +10 ->40+10=50.",
TIU,Numerik,Deret Angka,sedang,"9, 12, 17, 24, 33, ...",42,46,48,50,44,E,"Selisih +3,+5,+7,+9 ->33+11=44.",
